26/Feb/2014 20:26:28 || D || AreaMasterModel || GetAreaMasterAll || closing database connection
26/Feb/2014 20:26:28 || D || AreaMasterModel || GetAreaMasterAll || Object returning value
26/Feb/2014 20:26:28 || D || AreaMasterModel || GetAreaMasterAll || Closed sleeping connection
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || Assigning value to the variable
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || Creating database
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || Database created
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || reading data from database
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || Id read from database
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || AreaName read from database.
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || ShortAreaName read from database.
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || Adding object to list
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || Id read from database
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || AreaName read from database.
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || ShortAreaName read from database.
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || Adding object to list
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || Id read from database
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || AreaName read from database.
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || ShortAreaName read from database.
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || Adding object to list
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || Checking reader has closed the connection.
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || closing database connection
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || Object returning value
26/Feb/2014 20:27:11 || D || AreaMasterModel || GetAreaMasterAll || Closed sleeping connection
26/Feb/2014 20:27:34 || D || DoctorDetailsModel || UserAuthentication || storing values in variable.
26/Feb/2014 20:27:34 || D || DoctorDetailsModel || GetDoctorDetailById || Id read from database
26/Feb/2014 20:27:34 || D || DoctorDetailsModel || GetDoctorDetailById || Doctor Name read from database
26/Feb/2014 20:27:34 || D || DoctorDetailsModel || GetDoctorDetailById || Department read from database
26/Feb/2014 20:27:34 || D || DoctorDetailsModel || GetDoctorDetailById || Mobile Number read from database
26/Feb/2014 20:27:34 || D || DoctorDetailsModel || GetDoctorDetailById || Address read from database
26/Feb/2014 20:27:34 || D || DoctorDetailsModel || GetDoctorDetailById || AreaId read from database
26/Feb/2014 20:27:34 || D || DoctorDetailsModel || GetDoctorDetailById || Create Date read from database
26/Feb/2014 20:27:34 || D || DoctorDetailsModel || GetDoctorDetailById || Id read from database
26/Feb/2014 20:27:34 || D || DoctorDetailsModel || GetDoctorDetailById || Doctor Name read from database
26/Feb/2014 20:27:34 || D || DoctorDetailsModel || GetDoctorDetailById || Department read from database
26/Feb/2014 20:27:34 || D || DoctorDetailsModel || GetDoctorDetailById || Mobile Number read from database
26/Feb/2014 20:27:34 || D || DoctorDetailsModel || GetDoctorDetailById || Address read from database
26/Feb/2014 20:27:34 || D || DoctorDetailsModel || GetDoctorDetailById || AreaId read from database
26/Feb/2014 20:27:34 || D || DoctorDetailsModel || GetDoctorDetailById || Create Date read from database
26/Feb/2014 20:27:34 || D || DoctorDetailsModel || GetDiseaseDetailById || Checking reader has closed the connection.
26/Feb/2014 20:27:34 || D || DoctorDetailsModel || GetDiseaseDetailById || closing database connection
