24/Feb/2014 16:17:18 || D || DoctorDetailsModel || UserAuthentication || storing values in variable.
24/Feb/2014 16:17:19 || E || DoctorDetailsModel || GetDiseaseDetailById || Erro occured while Selecting data from disease master detail by id || InnerException: Could not load file or assembly 'ExamConfigurationManager, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null' or one of its dependencies. The system cannot find the file specified. || StackTrace:   at ITM.DAOBase.Database..ctor()
   at DisSol.Models.DoctorDetailsModel.UserAuthentication(String userName, String password) in d:\Official Projects\DisSol\DisSol\Models\DoctorDetailsModel.cs:line 285
24/Feb/2014 16:17:19 || D || DoctorDetailsModel || GetDiseaseDetailById || Closed sleeping connection
24/Feb/2014 16:17:39 || D || DoctorDetailsModel || UserAuthentication || storing values in variable.
24/Feb/2014 16:24:51 || D || DoctorDetailsModel || UserAuthentication || storing values in variable.
24/Feb/2014 16:26:07 || D || DoctorDetailsModel || UserAuthentication || storing values in variable.
24/Feb/2014 16:31:29 || D || DoctorDetailsModel || UserAuthentication || storing values in variable.
24/Feb/2014 16:31:53 || D || DoctorDetailsModel || GetDiseaseDetailById || Closed sleeping connection
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || Assigning value to the variable
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || Creating database
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || Database created
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || reading data from database
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || Id read from database
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || AreaName read from database.
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || ShortAreaName read from database.
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || Adding object to list
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || Id read from database
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || AreaName read from database.
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || ShortAreaName read from database.
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || Adding object to list
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || Id read from database
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || AreaName read from database.
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || ShortAreaName read from database.
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || Adding object to list
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || Checking reader has closed the connection.
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || closing database connection
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || Object returning value
24/Feb/2014 17:46:36 || D || AreaMasterModel || GetAreaMasterAll || Closed sleeping connection
24/Feb/2014 18:35:09 || D || DoctorDetailsModel || UserAuthentication || storing values in variable.
24/Feb/2014 18:35:16 || D || DoctorDetailsModel || GetDiseaseDetailById || Closed sleeping connection
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || Assigning value to the variable
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || Creating database
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || Database created
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || reading data from database
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || Id read from database
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || AreaName read from database.
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || ShortAreaName read from database.
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || Adding object to list
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || Id read from database
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || AreaName read from database.
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || ShortAreaName read from database.
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || Adding object to list
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || Id read from database
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || AreaName read from database.
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || ShortAreaName read from database.
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || Adding object to list
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || Checking reader has closed the connection.
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || closing database connection
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || Object returning value
24/Feb/2014 18:37:00 || D || AreaMasterModel || GetAreaMasterAll || Closed sleeping connection
24/Feb/2014 18:40:13 || D || AreaMasterModel || GetAreaMasterAll || Assigning value to the variable
24/Feb/2014 18:40:13 || D || AreaMasterModel || GetAreaMasterAll || Creating database
24/Feb/2014 18:40:13 || D || AreaMasterModel || GetAreaMasterAll || Database created
24/Feb/2014 18:40:13 || D || AreaMasterModel || GetAreaMasterAll || reading data from database
24/Feb/2014 18:40:13 || D || AreaMasterModel || GetAreaMasterAll || Id read from database
24/Feb/2014 18:40:13 || D || AreaMasterModel || GetAreaMasterAll || AreaName read from database.
24/Feb/2014 18:40:13 || D || AreaMasterModel || GetAreaMasterAll || ShortAreaName read from database.
24/Feb/2014 18:40:13 || D || AreaMasterModel || GetAreaMasterAll || Adding object to list
24/Feb/2014 18:40:13 || D || AreaMasterModel || GetAreaMasterAll || Id read from database
